DAY,TIME,CORES,CPU_LOAD,GPU_LOAD,MIN_GPU_LOAD,MAX_GPU_LOAD,USED_MEMORY,PEEK_MEMORY,RAM_LOAD,MIN_RAM_LOAD,MAX_RAM_LOAD,GPU_TEMP,MIN_TEMP,MAX_TEMP
25/6/2020,17:16:1:358,87;87;93;100;,92,0,0,0,13,13,85,85,-858993460,1000,0
25/6/2020,17:16:2:352,100;100;100;100;,100,0,0,0,13,13,85,85,-858993460,1000,0
25/6/2020,17:16:2:803,50;50;43;25;,42,0,0,0,13,13,85,85,-858993460,1000,0
25/6/2020,17:16:3:185,75;75;56;62;,67,0,0,0,13,13,85,85,-858993460,1000,0
