TIME, CPU_LOAD, CORES, GPU_LOAD, MIN_GPU_LOAD, MAX_GPU_LOAD, USED_MEMORY, PEEK_MEMORY, RAM_LOAD, MIN_RAM_LOAD, MAX_RAM_LOAD, GPU_TEMP, MIN_TEMP, MAX_TEMP
23/6/2020/;19:52:27:722,-858993460,,11,0,11,231,239,29,0,29,50,0,50,
23/6/2020/;19:52:28:761,-858993460,,12,0,12,231,239,29,0,29,51,0,51,
23/6/2020/;19:52:29:839,-858993460,,12,0,12,240,249,29,0,29,50,0,50,
23/6/2020/;19:52:30:911,-858993460,,10,0,10,240,249,29,0,29,50,0,50,
23/6/2020/;19:52:31:975,-858993460,,12,0,12,241,249,29,0,29,50,0,50,
23/6/2020/;19:52:32:986,-858993460,,9,0,9,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:34:23,-858993460,,9,0,9,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:35:80,-858993460,,13,0,13,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:36:141,-858993460,,9,0,9,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:37:213,-858993460,,11,0,11,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:38:253,-858993460,,10,0,10,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:39:263,-858993460,,10,0,10,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:40:277,-858993460,,11,0,11,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:41:353,-858993460,,11,0,11,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:42:384,-858993460,,10,0,10,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:43:466,-858993460,,10,0,10,242,249,29,0,29,50,0,50,
23/6/2020/;19:52:44:510,-858993460,,11,0,11,242,249,29,0,29,50,0,50,
